code,qid,question,option_1,option_2,option_3,option_4,correct_option,active
DUM,001,"Om en katt kunde cykla på en sandlåda, skulle den välja skor eller en robot?",Kanske,Sött,Umami,Ja,2,True
DUM,002,Har en papegoja fler lampa på sommaren eller när det regnar?,Surprise,Brun,Kanske,Långsamt,1,True
DUM,003,Vilken smak har orange glass?,Nej,Umami,Lycka,Kanske,2,True
DUM,004,Är det farligare att möta en arg enhörning eller att äta stekt vattenmelon?,Umami,Salt,Fiskig,Långsamt,3,True
DUM,005,Har en papegoja fler penna på sommaren eller när det regnar?,Pajig,Långsamt,Fiskig,Solkatt,3,True
DUM,006,"Om en kanin kunde sjunga på Molnet, skulle den välja pannkakor eller en tårta?",Brun,Solkatt,Salt,Bubblig,1,True
DUM,007,"Om en lampa kunde prata, vilket ord skulle den säga först?",Bubblig,Salt,Fiskig,Ja,3,True
DUM,008,Är det farligare att möta ett vampyrfår eller att äta stekt vattenmelon?,Dimma,Ja,Surprise,Pajig,1,True
DUM,009,Är det snabbare att hoppa genom en sandlåda eller att simma över glass?,Pajig,Glittrig,Salt,Smärta,4,True
DUM,010,Har en flodhäst fler bil på sommaren eller när det regnar?,Kanske,Surprise,Ja,Umami,2,True
DUM,011,Är det farligare att möta ett disco-troll eller att äta stekt vattenmelon?,Solkatt,Pajig,Umami,Glittrig,4,True
DUM,012,"Om du ser en lila flodhäst dansa, vad ska du göra först?",Surprise,Brun,Umami,Sött,2,True
DUM,013,Vilken smak har lila spaghetti?,Umami,Salt,Bubblig,Pajig,4,True
DUM,014,Har en flodhäst fler penna på sommaren eller när det regnar?,Lycka,Sött,Nej,Dimma,3,True
DUM,015,"Om du ser en blå hund dansa, vad ska du göra först?",Brun,Umami,Nej,Kanske,4,True
DUM,016,Vilken smak har grön pannkaka?,Ja,Fiskig,Brun,Kanske,2,True
DUM,017,Vilken smak har rosa pannkaka?,Solkatt,Smärta,Brun,Dimma,2,True
DUM,018,Vilken smak har turkos kaffe?,Bubblig,Smärta,Nej,Ja,3,True
DUM,019,Är det snabbare att måla genom en sandlåda eller att simma över strumpor?,Glittrig,Nej,Snabbt,Solkatt,4,True
DUM,020,Vilken känsla får du när kanin bär hatt?,Solkatt,Umami,Salt,Dimma,4,True
DUM,021,Har en hund fler lampa på sommaren eller när det snöar?,Sött,Fiskig,Snabbt,Lycka,2,True
DUM,022,Vilken smak har blå pannkaka?,Smärta,Salt,Mjau,Nej,1,True
DUM,023,"Om du ser en orange delfin dansa, vad ska du göra först?",Ja,Dimma,Sött,Snabbt,4,True
DUM,024,"Om en dator kunde prata, vilket ord skulle den säga först?",Glittrig,Solkatt,Sött,Bubblig,4,True
DUM,025,Vilken är den hemliga färgen på baksidan av soffa?,Sött,Dimma,Pajig,Salt,1,True
DUM,026,Vilken känsla får du när pingvin bär hatt?,Kanske,Fiskig,Bubblig,Sött,4,True
DUM,027,Vilken smak har blå choklad?,Fiskig,Solkatt,Mjau,Surprise,4,True
DUM,028,Är det farligare att möta en sjungande zombie eller att äta ostsås med choklad?,Pajig,Umami,Smärta,Fiskig,1,True
