code,qid,question,option_1,option_2,option_3,option_4,correct_option
POF,001,Vad är den primära kraften som lyfter ett flygplan?,Dragkraft,Lyftkraft,Tyngdkraft,Sidokraft,2
POF,002,Vilken av Newtons lagar förklarar varför ett flygplan kan flyga framåt?,Första lagen,Andra lagen,Tredje lagen,Fjärde lagen,3
POF,003,Vad kallas vinkeln mellan vingens korda och den relativa luftströmmen?,Anfallsvinkel,Glidvinkel,Rullvinkel,Givinkel,1
POF,004,Vilken kraft motverkar lyftkraften hos ett flygplan?,Dragkraft,Tyngdkraft,Sidokraft,Framåtkraft,2
POF,005,Vad är syftet med en vingeprofil?,Öka dragkraften,Minska bränsleförbrukningen,Skapa lyftkraft,Stabilisera planet,3
POF,006,Vad händer med lyftkraften om anfallsvinkeln ökar för mycket?,Ökar obegränsat,Blir konstant,Minskar pga stall,Försvinner helt,3
POF,007,Vilken komponent på ett flygplan styr dess gir (yaw)?,Höjdroder,Sidroder,Skevroder,Flaps,2
POF,008,Vad är Bernoulli-principen relaterad till i flygsammanhang?,Lyftkraft,Dragkraft,Tyngdkraft,Sidokraft,1
POF,009,Vilken faktor påverkar lyftkraften mest?,Vingytans storlek,Flygplanets vikt,Luftens temperatur,Motorstyrka,1
POF,010,Vad kallas fenomenet när luftflödet över vingen separerar?,Turbulens,Stall,Drag,Lyft,2
POF,011,Vad är syftet med flaps vid start och landning?,Öka lyftkraft vid låga hastigheter,Minska bränsleförbrukning,Styra gir,Öka hastighet,1
POF,012,Vad är syftet med höjdroder?,Styra stigning och sjunkning,Styra gir,Öka lyftkraft,Minska dragkraft,1
POF,013,Vilken faktor påverkar luftdensiteten mest?,Höjd,Hastighet,Vingform,Motorstyrka,1
POF,014,Vad kallas den punkt där flygplanets totala vikt verkar?,Tyngdpunkt,Lyftpunkt,Dragpunkt,Rullpunkt,1
POF,015,Vad är syftet med skevroder?,Styra rullning,Styra stigning,Öka lyftkraft,Minska hastighet,1
POF,016,Vilken kraft gör att ett flygplan svänger i en kurva?,Centripetalkraft,Lyftkraft,Dragkraft,Tyngdkraft,1
POF,017,Vad är den relativa vindens riktning i förhållande till flygplanet?,Motsatt flygplanets rörelse,Samma som flygplanets rörelse,Vinkelrät mot vingen,Oberoende av rörelse,1
POF,018,Vad är en vanlig orsak till turbulens?,Plötsliga vindförändringar,Vingform,Motorvibrationer,Höjdroderjusteringar,1
POF,019,Vad är Mach-talet ett mått på?,Hastighet i förhållande till ljudets hastighet,Lyftkraft,Dragkraft,Luftdensitet,1
POF,020,Vilken del av vingen bidrar mest till lyftkraften?,Ovansidan,Undersidan,Framkanten,Bakkanten,1
POF,021,Vad kallas den hastighet där ett flygplan varken stiger eller sjunker?,Stallhastighet,Krysshastighet,Maxhastighet,Glidhastighet,2
POF,022,Vad är syftet med en stabilisator på ett flygplan?,Ge longitudinell stabilitet,Öka lyftkraft,Minska vikt,Styra sidrörelse,1
POF,023,Vad är den primära funktionen för en jetmotor?,Skapa dragkraft,Skapa lyftkraft,Styra planet,Minska ljudnivå,1
POF,024,Vad är en vanlig effekt av att flyga i hög höjd?,Lägre luftdensitet,Högre lyftkraft,Ökad dragkraft,Minskad tyngdkraft,1
POF,025,Vad kallas det när ett flygplan roterar runt sin vertikala axel?,Gir,Rullning,Stigning,Sjunkning,1
POF,026,Vilken typ av vinge ger bäst lyftkraft vid låga hastigheter?,Högvinge,Lågvinge,Deltaformad vinge,Rektangulär vinge,1
POF,027,Vad är en stallhastighet?,Minsta hastighet för att bibehålla lyft,Högsta tillåtna hastighet,Hastighet vid landning,Hastighet vid start,1
POF,028,Vad påverkar dragkraften mest?,Motorstorlek,Vingform,Luftdensitet,Flygplanets vikt,1
POF,029,Vilken komponent används för att minska vingens lyftkraft vid landning?,Flaps,Spoilers,Skevroder,Höjdroder,2
POF,030,Vad är syftet med en trimflik?,Justera flygplanets balans,Öka hastighet,Minska bränsleförbrukning,Styra svängar,1
POF,031,Vad kallas den vinkel som vingen är monterad i förhållande till flygkroppen?,Dihedralvinkel,Anfallsvinkel,Glidvinkel,Svepevinkel,1
POF,032,Vad är den största fördelen med en deltaformad vinge?,Hög hastighet och manövrerbarhet,Låg vikt,Hög lyftkraft vid låga hastigheter,Låg kostnad,1
POF,033,Vad är en vanlig orsak till att ett flygplan rullar?,Obalans i skevroder,Höjdroderfel,Motorstopp,Vindbyar,1
POF,034,Vilken kraft motverkar dragkraften?,Lyftkraft,Tyngdkraft,Friktion,Aerodynamiskt motstånd,4
POF,035,Vad är syftet med en pitotrör?,Mäta lufthastighet,Mäta höjd,Mäta bränsleflöde,Mäta temperatur,1
POF,036,Vad kallas det när ett flygplan tappar lyftkraft pga låg hastighet?,Stall,Turbulens,Glidning,Svängning,1
POF,037,Vilken typ av motor används oftast i kommersiella flygplan?,Kolvmotor,Jetmotor,Turboprop,Elektrisk motor,2
